No,Name,Type1,Type2,Height,Weight,Legendary
1,Bulbasaur,Grass,Poison,0.7,6.9,0
2,Ivysaur,Grass,Poison,1.0,13.0,0
3,Venusaur,Grass,Poison,2.0,100.0,0
4,Charmander,Fire,None,0.6,8.5,0
5,Charmeleon,Fire,None,1.1,19.0,0
6,Charizard,Fire,Flying,1.7,90.5,0
7,Squirtle,Water,None,0.5,9.0,0
8,Wartortle,Water,None,1.0,22.5,0
9,Blastoise,Water,None,1.6,85.5,0
10,Caterpie,Bug,None,0.3,2.9,0
11,Metapod,Bug,None,0.7,9.9,0
12,Butterfree,Bug,Flying,1.1,32.0,0
13,Weedle,Bug,Poison,0.3,3.2,0
14,Kakuna,Bug,Poison,0.6,10.0,0
15,Beedrill,Bug,Poison,1.0,29.5,0
16,Pidgey,Normal,Flying,0.3,1.8,0
17,Pidgeotto,Normal,Flying,1.1,30.0,0
18,Pidgeot,Normal,Flying,1.5,39.5,0
19,Rattata,Normal,None,0.3,3.5,0
20,Raticate,Normal,None,0.7,18.5,0
21,Spearow,Normal,Flying,0.3,2.0,0
22,Fearow,Normal,Flying,1.2,38.0,0
23,Ekans,Poison,None,2.0,6.9,0
24,Arbok,Poison,None,3.5,65.0,0
25,Pikachu,Electric,None,0.4,6.0,0
26,Raichu,Electric,None,0.8,30.0,0
27,Sandshrew,Ground,None,0.6,12.0,0
28,Sandslash,Ground,None,1.0,29.5,0
29,Nidoran♀,Poison,None,0.4,7.0,0
30,Nidorina,Poison,None,0.8,20.0,0
31,Nidoqueen,Poison,Ground,1.3,60.0,0
32,Nidoran♂,Poison,None,0.5,9.0,0
33,Nidorino,Poison,None,0.9,19.5,0
34,Nidoking,Poison,Ground,1.4,62.0,0
35,Clefairy,Fairy,None,0.6,7.5,0
36,Clefable,Fairy,None,1.3,40.0,0
37,Vulpix,Fire,None,0.6,9.9,0
38,Ninetales,Fire,None,1.1,19.9,0
39,Jigglypuff,Normal,Fairy,0.5,5.5,0
40,Wigglytuff,Normal,Fairy,1.0,12.0,0
41,Zubat,Poison,Flying,0.8,7.5,0
42,Golbat,Poison,Flying,1.6,55.0,0
43,Oddish,Grass,Poison,0.5,5.4,0
44,Gloom,Grass,Poison,0.8,8.6,0
45,Vileplume,Grass,Poison,1.2,18.6,0
46,Paras,Bug,Grass,0.3,5.4,0
47,Parasect,Bug,Grass,1.0,29.5,0
48,Venonat,Bug,Poison,1.0,30.0,0
49,Venomoth,Bug,Poison,1.5,12.5,0
50,Diglett,Ground,None,0.2,0.8,0
51,Dugtrio,Ground,None,0.7,33.3,0
52,Meowth,Normal,None,0.4,4.2,0
53,Persian,Normal,None,1.0,32.0,0
54,Psyduck,Water,None,0.8,19.6,0
55,Golduck,Water,None,1.7,76.6,0
56,Mankey,Fighting,None,0.5,28.0,0
57,Primeape,Fighting,None,1.0,32.0,0
58,Growlithe,Fire,None,0.7,19.0,0
59,Arcanine,Fire,None,1.9,155.0,0
60,Poliwag,Water,None,0.6,12.4,0
61,Poliwhirl,Water,None,1.0,20.0,0
62,Poliwrath,Water,Fighting,1.3,54.0,0
63,Abra,Psychic,None,0.9,19.5,0
64,Kadabra,Psychic,None,1.3,56.5,0
65,Alakazam,Psychic,None,1.5,48.0,0
66,Machop,Fighting,None,0.8,19.5,0
67,Machoke,Fighting,None,1.5,70.5,0
68,Machamp,Fighting,None,1.6,130.0,0
69,Bellsprout,Grass,Poison,0.7,4.0,0
70,Weepinbell,Grass,Poison,1.0,6.4,0
71,Victreebel,Grass,Poison,1.7,15.5,0
72,Tentacool,Water,Poison,0.9,45.5,0
73,Tentacruel,Water,Poison,1.6,55.0,0
74,Geodude,Rock,Ground,0.4,20.0,0
75,Graveler,Rock,Ground,1.0,105.0,0
76,Golem,Rock,Ground,1.4,300.0,0
77,Ponyta,Fire,None,1.0,30.0,0
78,Rapidash,Fire,None,1.7,95.0,0
79,Slowpoke,Water,Psychic,1.2,36.0,0
80,Slowbro,Water,Psychic,1.6,78.5,0
81,Magnemite,Electric,Steel,0.3,6.0,0
82,Magneton,Electric,Steel,1.0,60.0,0
